# Wavelength Flux
3.750008e+03 4.304557e-01
3.750023e+03 4.294697e-01
3.750038e+03 4.032927e-01
3.750052e+03 3.862919e-01
3.750067e+03 3.685390e-01
3.750081e+03 3.452843e-01
3.750096e+03 3.471902e-01
3.750111e+03 3.479500e-01
3.750125e+03 3.468632e-01
3.750140e+03 3.360606e-01
3.750155e+03 3.344024e-01
3.750169e+03 3.420124e-01
3.750184e+03 3.446390e-01
3.750199e+03 3.481088e-01
3.750213e+03 3.521065e-01
3.750228e+03 3.644466e-01
3.750243e+03 3.815055e-01
3.750257e+03 4.008978e-01
3.750272e+03 4.174716e-01
3.750286e+03 4.343529e-01
3.750301e+03 4.522131e-01
3.750316e+03 4.748470e-01
3.750331e+03 5.017223e-01
3.750345e+03 5.306705e-01
3.750360e+03 5.664424e-01
3.750375e+03 5.822014e-01
3.750389e+03 5.995845e-01
3.750404e+03 6.232563e-01
3.750418e+03 6.472367e-01
3.750433e+03 6.638971e-01
3.750448e+03 6.697417e-01
3.750462e+03 6.934608e-01
3.750477e+03 7.044751e-01
3.750492e+03 7.053381e-01
3.750506e+03 7.129393e-01
3.750521e+03 7.223120e-01
3.750536e+03 7.318763e-01
3.750550e+03 7.190349e-01
3.750565e+03 7.275736e-01
3.750580e+03 7.373074e-01
3.750594e+03 7.085518e-01
3.750609e+03 7.064798e-01
3.750623e+03 7.042462e-01
3.750638e+03 6.808928e-01
3.750653e+03 6.995822e-01
3.750667e+03 7.177377e-01
3.750682e+03 7.273071e-01
3.750697e+03 7.377923e-01
3.750711e+03 7.504685e-01
3.750726e+03 7.672991e-01
3.750741e+03 7.659077e-01
3.750755e+03 7.682698e-01
3.750770e+03 7.728712e-01
3.750784e+03 7.966039e-01
3.750799e+03 7.802001e-01
3.750814e+03 7.441161e-01
3.750829e+03 7.018988e-01
3.750843e+03 6.825317e-01
3.750858e+03 6.711646e-01
3.750873e+03 6.610582e-01
3.750887e+03 6.947654e-01
3.750902e+03 7.355772e-01
3.750917e+03 7.778155e-01
3.750931e+03 8.118268e-01
3.750946e+03 8.321719e-01
3.750960e+03 8.263844e-01
3.750975e+03 8.437099e-01
3.750990e+03 8.510327e-01
3.751004e+03 8.475934e-01
3.751019e+03 8.481511e-01
3.751034e+03 8.556709e-01
3.751048e+03 8.669773e-01
3.751063e+03 8.488399e-01
3.751078e+03 8.419636e-01
3.751092e+03 8.494406e-01
3.751107e+03 9.708288e-01
3.751121e+03 9.378313e-01
3.751136e+03 8.887203e-01
3.751151e+03 8.844374e-01
3.751165e+03 8.724766e-01
3.751180e+03 8.695310e-01
3.751195e+03 8.878275e-01
3.751209e+03 8.825197e-01
3.751224e+03 8.791037e-01
3.751239e+03 8.773687e-01
3.751254e+03 8.859435e-01
3.751268e+03 8.912500e-01
3.751283e+03 8.954738e-01
3.751297e+03 9.293787e-01
3.751312e+03 9.611120e-01
3.751327e+03 9.891173e-01
3.751341e+03 9.860741e-01
3.751356e+03 9.647973e-01
3.751371e+03 9.448082e-01
3.751385e+03 9.500700e-01
3.751400e+03 9.327695e-01
3.751415e+03 9.133824e-01
3.751429e+03 8.899835e-01
3.751444e+03 8.952720e-01
3.751458e+03 8.958105e-01
3.751473e+03 8.916440e-01
3.751488e+03 8.846960e-01
3.751502e+03 8.638087e-01
3.751517e+03 8.324063e-01
3.751532e+03 7.638960e-01
3.751546e+03 6.817889e-01
3.751561e+03 5.987287e-01
3.751576e+03 5.376289e-01
3.751590e+03 5.455948e-01
3.751605e+03 5.804085e-01
3.751620e+03 6.595401e-01
3.751634e+03 7.405602e-01
3.751649e+03 8.078740e-01
3.751663e+03 8.536144e-01
3.751678e+03 8.863065e-01
3.751693e+03 9.069513e-01
3.751707e+03 9.166007e-01
3.751722e+03 9.077488e-01
3.751737e+03 9.050632e-01
3.751752e+03 9.027250e-01
3.751766e+03 8.806704e-01
3.751781e+03 8.767069e-01
3.751795e+03 8.759120e-01
3.751810e+03 8.691022e-01
3.751825e+03 8.899803e-01
3.751839e+03 9.077423e-01
3.751854e+03 9.132119e-01
3.751869e+03 9.273670e-01
3.751883e+03 9.408288e-01
3.751898e+03 9.544385e-01
3.751913e+03 9.424093e-01
3.751927e+03 9.466943e-01
3.751942e+03 9.577082e-01
3.751957e+03 9.412566e-01
3.751971e+03 9.383861e-01
3.751986e+03 9.398148e-01
3.752000e+03 9.466398e-01
3.752015e+03 9.613393e-01
3.752030e+03 9.705718e-01
3.752044e+03 9.649159e-01
3.752059e+03 9.511919e-01
3.752074e+03 9.502977e-01
3.752088e+03 9.665156e-01
3.752103e+03 9.525883e-01
3.752118e+03 9.497359e-01
3.752132e+03 9.523123e-01
3.752147e+03 9.470666e-01
3.752162e+03 9.446667e-01
3.752176e+03 9.443590e-01
3.752191e+03 9.543408e-01
3.752206e+03 9.467757e-01
3.752220e+03 9.418296e-01
3.752235e+03 9.492049e-01
3.752250e+03 9.459630e-01
3.752264e+03 9.502739e-01
3.752279e+03 9.648995e-01
3.752294e+03 9.579571e-01
3.752308e+03 9.469450e-01
3.752323e+03 9.334097e-01
3.752337e+03 9.426736e-01
3.752352e+03 9.089029e-01
3.752367e+03 8.733877e-01
3.752381e+03 8.941117e-01
3.752396e+03 8.752649e-01
3.752411e+03 8.544909e-01
3.752425e+03 8.362941e-01
3.752440e+03 8.302017e-01
3.752455e+03 8.092704e-01
3.752469e+03 7.724823e-01
3.752484e+03 7.174146e-01
3.752499e+03 6.973845e-01
3.752513e+03 6.991357e-01
3.752528e+03 7.511088e-01
3.752542e+03 7.926002e-01
3.752557e+03 8.318551e-01
3.752572e+03 8.685946e-01
3.752586e+03 8.820021e-01
3.752601e+03 8.877906e-01
3.752616e+03 8.849156e-01
3.752630e+03 8.640140e-01
3.752645e+03 8.234143e-01
3.752660e+03 7.654688e-01
3.752674e+03 7.563794e-01
3.752689e+03 7.861722e-01
3.752704e+03 8.315966e-01
3.752718e+03 8.605420e-01
3.752733e+03 8.778941e-01
3.752748e+03 8.891278e-01
3.752762e+03 8.959039e-01
3.752777e+03 8.557499e-01
3.752792e+03 7.912141e-01
3.752806e+03 6.955029e-01
3.752821e+03 6.087626e-01
3.752836e+03 5.391463e-01
3.752850e+03 4.856313e-01
3.752865e+03 5.129920e-01
3.752879e+03 5.881444e-01
3.752894e+03 6.795910e-01
3.752909e+03 7.744954e-01
3.752923e+03 8.408471e-01
3.752938e+03 8.884993e-01
3.752953e+03 9.059414e-01
3.752967e+03 9.217739e-01
3.752982e+03 9.383397e-01
3.752997e+03 9.551702e-01
3.753011e+03 9.550970e-01
3.753026e+03 9.580699e-01
3.753041e+03 9.616592e-01
3.753055e+03 9.679637e-01
3.753070e+03 9.624517e-01
3.753084e+03 9.562361e-01
3.753099e+03 9.533536e-01
3.753114e+03 9.393076e-01
3.753129e+03 9.397231e-01
3.753143e+03 9.568393e-01
3.753158e+03 9.394436e-01
3.753173e+03 9.974499e-01
3.753187e+03 1.080641e+00
3.753202e+03 1.059694e+00
3.753216e+03 1.020344e+00
3.753231e+03 9.810609e-01
3.753246e+03 9.585055e-01
3.753260e+03 9.742894e-01
3.753275e+03 9.716960e-01
3.753290e+03 9.410406e-01
3.753304e+03 9.368923e-01
3.753319e+03 9.360815e-01
3.753334e+03 9.371817e-01
3.753348e+03 9.221917e-01
3.753363e+03 9.285007e-01
3.753378e+03 9.363778e-01
3.753392e+03 9.246912e-01
3.753407e+03 9.876689e-01
3.753421e+03 9.873798e-01
3.753436e+03 8.830432e-01
3.753451e+03 7.956289e-01
3.753465e+03 7.126346e-01
3.753480e+03 6.343758e-01
3.753495e+03 5.819404e-01
3.753509e+03 5.732391e-01
3.753524e+03 5.813363e-01
3.753539e+03 6.118933e-01
3.753553e+03 5.900682e-01
3.753568e+03 5.472276e-01
3.753583e+03 4.734700e-01
3.753597e+03 4.290278e-01
3.753612e+03 4.330211e-01
3.753627e+03 4.734048e-01
3.753641e+03 5.613636e-01
3.753656e+03 6.516783e-01
3.753671e+03 7.263490e-01
3.753685e+03 7.306883e-01
3.753700e+03 7.206771e-01
3.753715e+03 7.000923e-01
3.753729e+03 6.630941e-01
3.753744e+03 6.605536e-01
3.753758e+03 6.945255e-01
3.753773e+03 7.543091e-01
3.753788e+03 8.275790e-01
3.753802e+03 8.762044e-01
3.753817e+03 9.161850e-01
3.753832e+03 9.492058e-01
3.753846e+03 9.574497e-01
3.753861e+03 9.646933e-01
3.753876e+03 9.738799e-01
3.753890e+03 9.550161e-01
3.753905e+03 9.541900e-01
3.753920e+03 9.639605e-01
3.753934e+03 9.869819e-01
3.753949e+03 9.920268e-01
3.753963e+03 9.927576e-01
3.753978e+03 9.912432e-01
3.753993e+03 9.909579e-01
3.754007e+03 9.894220e-01
3.754022e+03 9.861037e-01
3.754037e+03 9.868175e-01
3.754052e+03 9.958413e-01
3.754066e+03 1.005615e+00
3.754081e+03 9.783683e-01
3.754095e+03 9.896564e-01
3.754110e+03 1.001648e+00
3.754125e+03 1.000207e+00
3.754139e+03 9.971685e-01
3.754154e+03 9.962927e-01
3.754169e+03 9.976500e-01
3.754183e+03 9.874155e-01
3.754198e+03 9.888079e-01
3.754213e+03 9.921876e-01
3.754227e+03 9.811512e-01
3.754242e+03 9.800792e-01
3.754257e+03 9.815933e-01
3.754271e+03 9.873586e-01
3.754286e+03 9.787225e-01
3.754300e+03 9.770204e-01
3.754315e+03 9.803472e-01
3.754330e+03 9.852833e-01
3.754344e+03 9.888749e-01
3.754359e+03 9.896421e-01
3.754374e+03 9.800180e-01
3.754388e+03 9.755120e-01
3.754403e+03 9.720981e-01
3.754418e+03 9.707093e-01
3.754432e+03 9.504096e-01
3.754447e+03 9.329177e-01
3.754461e+03 9.145949e-01
3.754476e+03 8.785868e-01
3.754491e+03 8.573939e-01
3.754506e+03 8.458153e-01
3.754520e+03 8.528023e-01
3.754535e+03 8.614467e-01
3.754550e+03 8.670122e-01
3.754564e+03 8.697439e-01
3.754579e+03 8.764014e-01
3.754594e+03 8.967027e-01
3.754608e+03 9.207853e-01
3.754623e+03 9.428694e-01
3.754637e+03 9.385544e-01
3.754652e+03 9.379997e-01
3.754667e+03 9.468841e-01
3.754681e+03 9.636829e-01
3.754696e+03 9.716112e-01
3.754711e+03 9.737080e-01
3.754725e+03 9.646941e-01
3.754740e+03 9.685336e-01
3.754755e+03 9.682770e-01
3.754769e+03 9.488028e-01
3.754784e+03 9.570015e-01
3.754798e+03 9.455898e-01
3.754813e+03 9.154856e-01
3.754828e+03 9.059116e-01
3.754842e+03 9.050694e-01
3.754857e+03 9.110511e-01
3.754872e+03 9.342582e-01
3.754886e+03 9.316179e-01
3.754901e+03 9.418029e-01
3.754916e+03 9.618508e-01
3.754930e+03 1.350667e+00
3.754945e+03 1.261873e+00
3.754960e+03 9.640070e-01
3.754974e+03 9.709437e-01
3.754989e+03 9.700678e-01
3.755004e+03 9.738216e-01
3.755018e+03 9.765932e-01
3.755033e+03 9.834687e-01
3.755048e+03 9.821786e-01
3.755062e+03 9.750208e-01
3.755077e+03 9.846539e-01
3.755092e+03 9.746068e-01
3.755106e+03 9.651064e-01
3.755121e+03 9.760789e-01
3.755136e+03 9.683484e-01
3.755150e+03 9.663349e-01
3.755165e+03 9.717817e-01
3.755179e+03 9.534274e-01
3.755194e+03 9.280888e-01
3.755209e+03 9.027773e-01
3.755223e+03 9.011624e-01
3.755238e+03 8.631719e-01
3.755253e+03 8.344484e-01
3.755267e+03 8.250064e-01
3.755282e+03 8.238626e-01
3.755297e+03 8.477110e-01
3.755311e+03 8.855854e-01
3.755326e+03 9.260959e-01
3.755340e+03 9.436265e-01
3.755355e+03 9.539687e-01
3.755370e+03 9.560598e-01
3.755384e+03 9.658807e-01
3.755399e+03 9.613866e-01
3.755414e+03 9.477152e-01
3.755429e+03 9.506019e-01
3.755443e+03 9.531163e-01
3.755458e+03 9.576988e-01
3.755473e+03 9.676629e-01
3.755487e+03 9.736778e-01
3.755502e+03 9.728232e-01
3.755516e+03 9.653756e-01
3.755531e+03 9.521050e-01
3.755546e+03 9.257907e-01
3.755560e+03 8.978930e-01
3.755575e+03 8.805696e-01
3.755590e+03 8.477705e-01
3.755604e+03 8.458006e-01
3.755619e+03 8.802036e-01
3.755634e+03 9.181317e-01
3.755648e+03 9.344973e-01
3.755663e+03 9.429215e-01
3.755677e+03 9.515957e-01
3.755692e+03 9.509456e-01
3.755707e+03 9.498048e-01
3.755721e+03 9.482205e-01
3.755736e+03 9.804940e-01
3.755751e+03 9.813344e-01
3.755765e+03 9.708750e-01
3.755780e+03 9.673274e-01
3.755795e+03 9.747529e-01
3.755809e+03 9.856897e-01
3.755824e+03 1.001082e+00
3.755839e+03 9.999092e-01
3.755853e+03 9.947622e-01
3.755868e+03 9.878029e-01
3.755883e+03 9.874372e-01
3.755897e+03 9.729642e-01
3.755912e+03 9.690369e-01
3.755927e+03 9.875003e-01
3.755941e+03 9.943762e-01
